b,,,,,,,
1,758/9,,,,,,
2,901/1,,,,,,
3,904/1,,,,,,
4,1036/4-1,,,,,,
5,1036/4-2,,,,,,
6,1036/4-3,,,,,,
7,1036/5-7-1,,,,,,
8,1036/5-7-2,,,,,,
9,1036/5-7-3,,,,,,
10,1037/2-2,,,,,,
11,1037/2-3,,,,,,
12,1037/3-1,,,,,,
13,1037/3-2,,,,,,
14,1038/5-1,,,,,,
15,1038/5-4,,,,,,
16,1038/9-1,,,,,,
17,1038/9-2,,,,,,
18,1039/4-30-1,,,,,,
19,1039/4-30-2,,,,,,
20,1039/4-30-3,,,,,,
21,1039/3-4-1,,,,,,
22,1039/3-4-2,,,,,,
23,1040/2-4-1,,,,,,
24,1040/2-4-2,,,,,,
25,1040/3-3-1,,,,,,
26,1040/3-3-2,,,,,,
27,1041/3-4-1,,,,,,
28,1041/3-4-2,,,,,,
29,1041/5-3-1,,,,,,
30,1041/5-3-2,,,,,,
31,1042/4-1,,,,,,
32,1042/4-2,,,,,,
33,1042/4-4,,,,,,
34,1042/5-7-1,,,,,,
35,1042/5-7-2,,,,,,
36,1042/5-7-3,,,,,,
37,1043/2-1,,,,,,
38,1043/2-2,,,,,,
39,1043/3-1,,,,,,
40,1043/3-2,,,,,,
41,1044/5-1,,,,,,
42,1044/5-2,,,,,,
43,1044/9-1,,,,,,
44,1044/9-2,,,,,,
45,1045/4-30-1,,,,,,
46,1045/4-30-2,,,,,,
47,1045/4-30-3,,,,,,
48,1045/3-4-1,,,,,,
49,1045/3-4-2,,,,,,
50,1045/3-4-3,,,,,,
51,1046/2-4-1,,,,,,
52,1046/2-4-2,,,,,,
53,1046/3-3-3,,,,,,
54,1046/3-3-4,,,,,,
55,1047/3-4-1,,,,,,
56,1047/3-4-3,,,,,,
57,1047/5-3-1,,,,,,
58,1047/5-3-2,,,,,,
